@relation repouso

@attribute Giro_x REAL
@attribute esc_x REAL
@attribute Giro_y REAL
@attribute esc_y REAL
@attribute Giro_z REAL
@attribute esc_z REAL
@attribute Acel_x REAL
@attribute esc_x2 REAL
@attribute Acel_y REAL
@attribute esc_y2 REAL
@attribute Acel_z REAL
@attribute esc_z2 REAL
@attribute Bus_x REAL
@attribute Bus_y REAL
@attribute movimento {repouso, leves, caminhada, monta}

@data
-15448,-0.942626953125,-2748,-0.16357421875,3876,0.2568359375,-156,-156,-83,-1,-139,-2,-9.71942548735,71.788732396,leves
-15216,-0.935302734375,-2864,-0.172119140625,4200,0.2626953125,-475,-475,467,3,82,0,-10.1104658215,71.6550768796,leves
-15540,-0.9404296875,-2940,-0.173095703125,3940,0.237548828125,-255,-255,612,4,1,0,-9.70499817689,72.2833286238,leves
-15464,-0.948486328125,-2896,-0.176513671875,3996,0.262451171875,-508,-508,165,1,-75,-1,-10.4863475917,71.5725311084,leves
-15508,-0.9501953125,-2920,-0.173828125,3232,0.204833984375,-168,-168,495,3,79,0,-10.625290134,74.3500482925,leves
-15348,-0.9375,-1444,-0.09326171875,3544,0.22216796875,-1009,-1009,702,5,-551,-5,-5.37524695473,77.1766826731,leves
-15724,-0.9541015625,-3124,-0.187744140625,3396,0.20556640625,-3,-3,-252,-2,34,0,-11.8769699697,73.214464365,leves
-15740,-0.958740234375,-2768,-0.17529296875,3264,0.20068359375,-525,-525,335,2,79,0,-10.0307981546,75.6680256482,leves
-15572,-0.95263671875,-2920,-0.172607421875,3044,0.2001953125,-274,-274,191,1,23,0,-10.6631351395,74.191717816,leves
-15824,-0.9580078125,-3120,-0.185546875,2904,0.173583984375,-104,-104,-58,-1,36,0,-10.7173038638,74.1627217554,leves
-15496,-0.94970703125,-3020,-0.184814453125,3236,0.194091796875,-293,-293,60,0,20,0,-11.7309604654,73.1539242513,leves
-16388,-1.01342773438,-3212,-0.198486328125,3548,0.22314453125,1375,1375,120,0,1272,9,-10.4329829618,73.9975462335,leves
-15840,-0.975830078125,-4048,-0.243896484375,3580,0.198974609375,-1568,-1568,870,6,-710,-6,-11.6446561377,73.5457790779,leves
-15608,-0.94287109375,-2852,-0.20263671875,3064,0.162841796875,-187,-187,174,1,98,0,-11.7854433058,74.3549738772,leves
-15540,-0.96533203125,-3176,-0.188720703125,3064,0.1572265625,-494,-494,516,3,93,0,-11.4132571636,74.3382802364,leves
-16300,-0.98876953125,-1060,-0.070556640625,3500,0.21630859375,-4350,-4350,876,6,-1587,-13,-4.99559165104,77.1851283829,leves
-14380,-0.8984375,368,0.0166015625,3772,0.22119140625,1175,1175,964,7,-1757,-14,-1.51840651639,77.1811011056,leves
-15124,-0.92822265625,-2992,-0.186279296875,3896,0.23828125,-482,-482,493,3,-38,-1,-10.9025936316,72.4957824534,leves
-15364,-0.951416015625,-3512,-0.20556640625,3516,0.220458984375,-180,-180,128,0,-62,-1,-12.5244316956,72.13023253,leves
-15412,-0.946533203125,-3596,-0.220458984375,3552,0.210693359375,-168,-168,-120,-1,95,0,-12.5653954582,72.5583674721,leves
-14272,-0.87060546875,-1140,-0.065673828125,4500,0.259765625,2364,2364,-331,-3,2550,19,-3.80002093803,72.8686810801,leves
-15528,-0.956298828125,-3472,-0.205810546875,3236,0.205810546875,63,63,-239,-2,500,3,-11.7760752406,72.5782060847,leves
-15368,-0.94775390625,-3352,-0.21826171875,3384,0.2158203125,-389,-389,511,3,112,0,-11.4781917128,73.799653131,leves
